user_id,genre,play_count
user_1,Classical,8
user_10,Rock,4
user_100,Pop,5
user_11,Rock,4
user_12,Classical,3
user_13,Rock,7
user_14,Rock,8
user_15,Rock,7
user_16,Jazz,10
user_17,Hip-Hop,9
user_18,Hip-Hop,9
user_19,Classical,4
user_2,Hip-Hop,8
user_20,Pop,4
user_21,Classical,11
user_22,Rock,7
user_23,Rock,6
user_24,Hip-Hop,4
user_25,Classical,13
user_26,Classical,7
user_27,Rock,7
user_28,Jazz,6
user_29,Pop,8
user_3,Rock,5
user_30,Pop,6
user_31,Jazz,12
user_32,Rock,7
user_33,Jazz,6
user_34,Classical,12
user_35,Pop,9
user_36,Pop,7
user_37,Jazz,3
user_38,Classical,8
user_39,Rock,5
user_4,Classical,7
user_40,Pop,5
user_41,Jazz,7
user_42,Hip-Hop,3
user_43,Pop,7
user_44,Hip-Hop,4
user_45,Rock,4
user_46,Hip-Hop,7
user_47,Classical,8
user_48,Pop,8
user_49,Jazz,8
user_5,Pop,5
user_50,Pop,8
user_51,Rock,6
user_52,Jazz,4
user_53,Hip-Hop,9
user_54,Pop,4
user_55,Rock,3
user_56,Pop,6
user_57,Pop,5
user_58,Jazz,4
user_59,Rock,9
user_6,Pop,8
user_60,Pop,4
user_61,Classical,5
user_62,Rock,6
user_63,Classical,6
user_64,Jazz,5
user_65,Pop,7
user_66,Pop,11
user_67,Classical,7
user_68,Rock,4
user_69,Hip-Hop,5
user_7,Hip-Hop,8
user_70,Hip-Hop,3
user_71,Rock,3
user_72,Hip-Hop,5
user_73,Classical,10
user_74,Hip-Hop,5
user_75,Hip-Hop,9
user_76,Rock,7
user_77,Jazz,4
user_78,Pop,8
user_79,Pop,6
user_8,Hip-Hop,4
user_80,Jazz,7
user_81,Rock,6
user_82,Rock,5
user_83,Pop,6
user_84,Classical,11
user_85,Pop,7
user_86,Classical,10
user_87,Hip-Hop,10
user_88,Classical,7
user_89,Classical,9
user_9,Jazz,8
user_90,Pop,4
user_91,Hip-Hop,9
user_92,Jazz,5
user_93,Rock,7
user_94,Hip-Hop,10
user_95,Jazz,4
user_96,Pop,14
user_97,Rock,11
user_98,Rock,10
user_99,Jazz,3
