song_id,title,avg_duration_sec,play_count
song_45,Title_song_45,226.0,14
song_14,Title_song_14,206.19,16
song_26,Title_song_26,200.76,17
song_37,Title_song_37,198.58,19
song_1,Title_song_1,193.85,20
song_4,Title_song_4,193.35,23
song_42,Title_song_42,184.0,18
song_25,Title_song_25,183.36,22
song_12,Title_song_12,182.52,27
song_19,Title_song_19,182.35,23
song_32,Title_song_32,181.11,18
song_9,Title_song_9,178.16,25
song_28,Title_song_28,177.62,26
song_35,Title_song_35,177.29,17
song_18,Title_song_18,176.96,24
song_34,Title_song_34,175.25,20
song_11,Title_song_11,174.83,18
song_36,Title_song_36,173.67,15
song_20,Title_song_20,173.61,28
song_24,Title_song_24,172.9,20
song_29,Title_song_29,171.33,15
song_27,Title_song_27,170.75,20
song_43,Title_song_43,168.32,25
song_7,Title_song_7,166.73,15
song_15,Title_song_15,165.65,26
song_6,Title_song_6,161.5,22
song_48,Title_song_48,160.04,25
song_39,Title_song_39,160.0,21
song_23,Title_song_23,159.81,21
song_30,Title_song_30,157.8,20
song_46,Title_song_46,157.18,17
song_40,Title_song_40,156.0,13
song_21,Title_song_21,155.09,23
song_49,Title_song_49,154.74,19
song_33,Title_song_33,154.62,21
song_41,Title_song_41,153.4,10
song_31,Title_song_31,152.21,19
song_3,Title_song_3,149.47,15
song_17,Title_song_17,147.83,18
song_5,Title_song_5,147.0,28
song_50,Title_song_50,145.47,19
song_44,Title_song_44,144.89,18
song_38,Title_song_38,144.74,23
song_22,Title_song_22,144.67,12
song_16,Title_song_16,142.92,37
song_47,Title_song_47,141.92,13
song_8,Title_song_8,141.67,18
song_13,Title_song_13,140.46,13
song_2,Title_song_2,140.05,22
song_10,Title_song_10,138.32,22
